Contig_ID	Bin_ID	2-1-2.raw_fold	2-8-2.raw_fold	2-9-2.raw_fold	2-10-2.raw_fold	2-12-2.raw_fold
k127_105473	metabat.113	3.5285	9.5581	48.0713	6.8607	10.2174
k127_137477	metabat.113	0.0493	19.4976	24.8368	8.5662	45.1643
k127_201593	metabat.113	0.0573	2.5481	52.6891	0.6004	0.72
k127_204768	metabat.113	0.9926	6.6905	42.4067	4.0888	5.8965
k127_240316	metabat.113	3.7706	11.7451	16.4772	18.9253	15.1982
k127_247995	metabat.113	0.1371	3.3225	35.9563	1.6484	2.6681
k127_263171	metabat.113	1.0763	3.7268	36.1535	3.6697	4.2363
k127_301814	metabat.113	0.1554	3.3904	41.9382	1.6555	2.5035
k127_333437	metabat.113	4.933	18.2995	54.9539	11.3685	17.7539
k127_381766	metabat.113	0.1855	3.4443	40.5238	1.6653	2.612
k127_617089	metabat.113	0.2753	3.571	44.2943	1.7386	2.2195
k127_632951	metabat.113	0.322	4.0747	40.391	2.0243	3.6307
k127_711968	metabat.113	1.7798	24.77	9.9192	31.5155	4.7551
k127_787647	metabat.113	1.1711	10.0088	44.7409	5.6361	8.9999
k127_799128	metabat.113	0.8823	5.9779	44.5105	3.423	6.0068
k127_891037	metabat.113	0.5595	6.1354	40.7229	3.1203	5.7729
k127_910970	metabat.113	0.1093	2.8685	35.2854	1.3142	1.9922
k127_930827	metabat.113	0.5396	8.1914	46.9815	5.153	6.7584
k127_1038317	metabat.113	0.2845	2.5246	43.6921	0.9399	1.4562
k127_1054286	metabat.113	0.0	2.8959	35.4758	1.3769	1.9391
k127_1098646	metabat.113	0.05	2.8026	41.7964	0.9345	1.579
k127_1242408	metabat.113	0.1177	3.79	46.8206	2.1033	2.3476
k127_1305118	metabat.113	0.4767	5.4092	39.9148	3.1229	3.0613
k127_1515243	metabat.113	0.0	3.1818	47.8013	1.4398	2.1196
k127_1547016	metabat.113	0.3779	3.5833	37.9715	1.8859	3.1811
k127_1634501	metabat.113	0.0	8.6367	14.5153	7.3612	18.3146
k127_1664869	metabat.113	0.7214	6.5359	43.8815	4.0604	6.3053
k127_1678977	metabat.113	10.0933	31.9327	67.2647	23.8693	32.8324
k127_1684800	metabat.113	0.3138	3.0465	46.2895	1.158	1.9289
k127_1709649	metabat.113	1.327	8.6057	49.2857	9.2686	9.813
k127_1710061	metabat.113	0.0407	2.9684	37.7574	1.7034	2.4945
k127_1803274	metabat.113	0.1136	2.7088	36.5649	1.1416	1.9582
k127_1830231	metabat.113	0.1419	3.3855	39.9619	1.7582	2.86
k127_1846048	metabat.113	0.6385	4.5177	40.8231	2.8245	3.387
k127_1847342	metabat.113	0.0341	5.4177	7.6317	13.7502	3.268
k127_1903617	metabat.113	0.1281	3.5383	39.2614	1.5239	2.2894
k127_1908516	metabat.113	0.8353	5.9669	40.1901	3.6915	5.0102
k127_1918817	metabat.113	1.0172	7.0599	41.1365	3.7526	6.0157
k127_2044613	metabat.113	0.0163	1.8154	46.0859	0.2096	0.2228
k127_2052509	metabat.113	0.1811	3.2565	43.8964	1.5221	2.1361
k127_2117721	metabat.113	0.755	5.3298	42.0699	2.8805	4.2149
k127_2147165	metabat.113	0.1521	4.2733	44.2372	2.9814	3.3918
k127_2197753	metabat.113	0.0624	2.5332	45.4832	0.6404	1.3559
k127_2213236	metabat.113	0.0	2.321	45.9001	0.6598	1.5755
k127_2243577	metabat.113	0.0	3.6341	47.8212	0.769	2.3105
k127_2250758	metabat.113	0.0375	2.5984	41.9469	0.9831	1.6207
k127_2308244	metabat.113	1.2117	6.8025	47.8381	4.1497	6.3441
k127_2452866	metabat.113	0.4413	6.4967	40.0746	3.5203	5.7432
k127_2469095	metabat.113	0.0056	1.8926	47.0976	0.5686	1.1236
k127_2489135	metabat.113	0.1421	2.5144	47.3262	0.8324	1.2063
k127_2492104	metabat.113	0.0	3.0206	48.0692	0.9351	1.9305
k127_2538114	metabat.113	0.1097	3.0506	37.7322	1.8518	3.0578
k127_2544099	metabat.113	0.3125	4.1635	40.8009	2.324	3.2669
k127_2569325	metabat.113	1.2658	7.988	9.1569	10.479	3.9917
k127_2667868	metabat.113	0.1793	3.4537	41.2643	1.8026	2.7825
k127_2731332	metabat.113	0.0909	3.2667	37.3718	1.572	2.7486
k127_2805148	metabat.113	0.8655	5.4797	44.8895	3.9243	5.3027
k127_2832422	metabat.113	0.2006	4.669	37.1001	2.924	2.7373
k127_2848279	metabat.113	0.5696	3.9476	36.2119	3.0986	3.0813
k127_2877559	metabat.113	1.1505	11.7882	57.9732	14.0962	14.7617
k127_3023929	metabat.113	0.2746	5.4004	42.9114	4.6549	4.9138
k127_3044538	metabat.113	0.1536	3.9187	39.7395	1.9032	3.1311
k127_3083675	metabat.113	0.3793	4.2877	39.8594	2.0509	3.834
k127_3111847	metabat.113	0.7972	5.8898	40.5204	2.2839	4.374
k127_3328249	metabat.113	0.0684	2.8126	42.363	0.9072	1.9727
k127_3354750	metabat.113	1.5487	7.1634	42.0275	4.8823	6.6393
k127_3413315	metabat.113	0.484	5.847	42.3786	3.1409	5.0622
k127_3477057	metabat.113	0.0	2.265	45.0341	1.3706	1.997
k127_3505712	metabat.113	0.859	6.6713	55.1611	3.9945	6.9142
k127_3516446	metabat.113	0.0703	3.6227	45.7756	1.4139	2.2551
k127_3573954	metabat.113	0.4268	5.3983	40.348	5.551	5.4881
k127_3668813	metabat.113	1.1065	8.0703	38.8784	3.5899	7.0439
k127_3698550	metabat.113	0.2825	3.9049	40.4304	2.8359	2.8546
k127_3733356	metabat.113	0.0265	2.9964	51.536	1.3744	1.0798
k127_3851566	metabat.113	0.1019	3.2877	36.5514	1.3162	2.1664
k127_3867188	metabat.113	0.0932	3.5744	45.2954	1.4027	1.9321
k127_3968218	metabat.113	0.6766	5.0661	39.6543	3.1083	4.37
k127_4033061	metabat.113	0.0	2.4024	31.3414	0.7473	1.4146
k127_4124449	metabat.113	0.0473	2.6505	39.7033	1.2487	1.9296
k127_4179126	metabat.113	0.2834	4.0667	44.1453	2.2799	3.0299
k127_4269402	metabat.113	0.0829	4.0422	34.9826	2.8563	4.0953
k127_4310910	metabat.113	0.0079	1.7046	42.0518	0.3386	0.2433
k127_4383632	metabat.113	0.0402	2.1013	46.1464	0.4442	0.238
k127_4406670	metabat.113	0.1445	2.8555	36.7492	0.719	1.5287
k127_4534662	metabat.113	0.1233	5.2803	53.0307	1.8334	3.8914
k127_4537929	metabat.113	0.235	3.1493	43.5433	1.5516	2.7988
k127_4539283	metabat.113	0.3498	4.1608	38.8866	2.3434	3.6678
k127_4654050	metabat.113	0.0506	4.7861	54.0165	0.7352	2.3401
k127_4729103	metabat.113	0.2685	3.6658	42.5899	1.7565	2.5496
k127_4745897	metabat.113	0.0	19.5884	16.875	11.5097	27.3815
k127_4749501	metabat.113	0.1831	3.645	54.2129	1.5106	2.6204
k127_4771746	metabat.113	0.2131	3.9558	38.6126	2.1006	3.0331
k127_4802680	metabat.113	0.0613	2.5649	40.4944	0.8685	1.7058
k127_4827722	metabat.113	2.279	8.8336	60.2628	6.5355	7.7967
k127_4902822	metabat.113	0.0274	3.9857	46.7032	4.3663	2.3707
k127_5102659	metabat.113	0.0712	2.9293	43.6716	0.7643	1.0552
k127_5115868	metabat.113	0.3105	4.1427	37.4948	2.3332	3.0817
k127_5145584	metabat.113	0.3472	4.3901	41.9316	2.3643	3.6438
k127_5246027	metabat.113	0.1752	4.8079	38.4977	2.4553	4.0614
k127_5325544	metabat.113	3.1107	6.9891	46.7565	4.3947	6.6109
k127_5410819	metabat.113	0.2337	2.8366	32.5245	0.993	1.897
k127_5421961	metabat.113	0.3363	2.9608	38.5633	1.2604	1.9223
k127_5488948	metabat.113	0.3652	4.7291	42.5896	2.5465	4.5479
k127_5750201	metabat.113	0.6309	4.5474	35.6781	2.4734	4.0501
k127_5753930	metabat.113	0.1091	4.5797	39.3839	1.571	3.584
k127_5838471	metabat.113	4.5956	10.557	20.0317	8.4874	11.6072
k127_5887989	metabat.113	0.1614	3.6714	44.9441	2.1687	2.1802
k127_5934650	metabat.113	0.0	3.3255	47.3795	0.9897	1.4654
k127_22792	metabat.179	1.2926	21.1578	11.9547	293.9646	6.9501
k127_26430	metabat.179	1.1912	18.7183	9.9664	317.1606	5.1412
k127_64248	metabat.179	2.6705	25.222	14.8154	328.7809	9.6078
k127_67417	metabat.179	1.5026	20.6934	11.8254	295.7458	6.7818
k127_104834	metabat.179	0.6945	18.5735	8.2467	311.769	4.21
k127_137879	metabat.179	0.3444	13.6106	5.4512	327.7361	2.5073
k127_453299	metabat.179	5.4095	31.5598	21.5509	306.496	16.8133
k127_525937	metabat.179	0.565	21.3251	12.1156	312.7945	5.328
k127_580656	metabat.179	1.4773	23.1711	10.5621	367.5092	5.2172
k127_676357	metabat.179	1.4797	19.3723	9.3417	339.083	5.2798
k127_713037	metabat.179	0.8286	19.2414	9.5698	296.7374	5.0364
k127_796303	metabat.179	1.9773	27.3576	16.9467	326.8296	11.0631
k127_853598	metabat.179	1.424	18.5428	10.088	324.1275	5.634
k127_854051	metabat.179	0.8168	16.7435	8.6834	328.6345	3.485
k127_859394	metabat.179	0.9771	19.2246	9.0326	310.3987	5.1821
k127_961481	metabat.179	1.227	18.105	10.0099	337.3782	4.8623
k127_1004749	metabat.179	1.0748	19.6194	10.5505	306.9494	5.6868
k127_1054772	metabat.179	1.8927	22.2038	12.1511	314.2845	7.2676
k127_1303888	metabat.179	1.8297	21.6974	11.7992	295.2099	7.4602
k127_1761644	metabat.179	1.1334	15.6261	6.9755	331.1618	3.9741
k127_1852719	metabat.179	0.5532	22.3272	10.9528	314.8348	4.7463
k127_1968819	metabat.179	1.8693	24.4912	14.1853	315.2059	8.0888
k127_2103078	metabat.179	1.1609	19.2141	10.627	297.1485	5.8062
k127_2196141	metabat.179	1.3211	19.5876	10.4054	314.455	5.8387
k127_2237853	metabat.179	1.4085	20.3348	10.5397	314.7443	6.4487
k127_2270236	metabat.179	1.8133	22.3016	12.2063	311.0725	6.9134
k127_2425533	metabat.179	5.3174	35.7453	25.1564	376.5328	17.6074
k127_2427501	metabat.179	0.9061	17.3724	8.2311	313.5156	4.6525
k127_2610720	metabat.179	3.5365	30.8444	21.1053	336.117	13.1408
k127_2612503	metabat.179	1.1231	19.6808	10.3435	298.1107	5.3336
k127_2985758	metabat.179	1.5635	18.4618	10.2208	316.4524	5.6827
k127_3363111	metabat.179	1.1522	17.8152	8.4912	315.4015	5.0481
k127_3450107	metabat.179	0.6514	17.5923	7.1265	329.0095	4.0124
k127_3514032	metabat.179	1.1747	20.3899	10.0005	299.6537	6.1256
k127_3763042	metabat.179	2.3745	26.3253	15.3785	330.4428	9.8102
k127_3785440	metabat.179	1.0547	16.5368	7.4161	340.3688	5.2294
k127_4037824	metabat.179	2.4438	22.5946	12.5725	333.7067	9.5328
k127_4052180	metabat.179	0.7376	20.1135	9.9688	297.3591	4.7596
k127_4056225	metabat.179	13.5116	68.0991	53.2883	375.8972	45.1554
k127_4735353	metabat.179	0.694	15.1858	7.417	306.0869	3.1354
k127_4868079	metabat.179	1.1475	21.3854	10.1024	320.9863	5.6906
k127_5231535	metabat.179	0.7698	18.3225	7.4813	346.6678	3.2861
k127_1594458	metabat.166	0.0202	0.9231	0.6819	0.1644	43.5217
k127_1685403	metabat.166	0.1567	0.9627	1.113	0.4126	41.6842
k127_2323725	metabat.166	0.0472	1.4683	1.9763	0.4784	42.4308
k127_2441686	metabat.166	0.0577	0.9007	0.7152	0.251	41.6351
k127_2484300	metabat.166	0.1607	0.7338	0.8109	0.4087	38.7427
k127_2770012	metabat.166	0.168	0.9969	0.8825	0.5512	40.8214
k127_5404245	metabat.166	0.0594	0.7531	0.7437	0.3264	42.7061
k127_16829	metabat.151	0.975	1.2212	1.0815	0.4837	104.9309
k127_29803	metabat.151	1.7583	2.3536	2.3044	1.5311	84.6156
k127_33969	metabat.151	3.7885	8.6071	21.4882	7.2538	86.7915
k127_52283	metabat.151	3.0993	11.4655	12.1523	33.3972	36.703
k127_64707	metabat.151	0.9208	1.333	0.7807	0.5816	88.5452
k127_67766	metabat.151	0.3217	0.7917	0.2074	0.2219	84.2105
k127_76910	metabat.151	4.5734	0.9386	0.6546	0.6523	89.2265
k127_91220	metabat.151	0.8532	0.6022	1.5379	1.375	82.4535
k127_101498	metabat.151	0.9317	0.6489	2.9234	0.2756	83.3834
k127_148569	metabat.151	4.3752	5.9482	14.0811	8.5519	92.9625
k127_150710	metabat.151	0.2294	5.106	15.0479	6.2057	72.9911
k127_164825	metabat.151	1.5598	1.1991	4.6863	1.3919	91.452
k127_228336	metabat.151	0.7599	0.9888	0.4381	0.494	85.6064
k127_239384	metabat.151	1.1764	0.9762	0.4357	0.3239	81.0689
k127_251615	metabat.151	0.1675	2.8206	6.933	3.176	101.1924
k127_264586	metabat.151	0.6537	10.6893	10.2022	29.9773	34.7972
k127_283750	metabat.151	0.1237	10.3743	10.8593	31.7944	30.4198
k127_291365	metabat.151	2.8675	2.0124	2.5253	1.9027	113.807
k127_351466	metabat.151	0.5203	1.1571	1.4459	0.7974	83.7396
k127_353037	metabat.151	5.9781	3.2692	3.9692	1.6829	83.2761
k127_390741	metabat.151	1.7476	1.653	0.9197	0.719	108.3227
k127_392595	metabat.151	0.8723	1.3568	0.9768	0.4521	87.9373
k127_408870	metabat.151	0.3918	1.0132	0.4705	0.2226	84.7899
k127_409989	metabat.151	0.6349	0.9672	0.562	0.3752	81.2254
k127_412988	metabat.151	0.1306	0.8093	2.5137	0.0939	64.5248
k127_413621	metabat.151	2.0178	1.1573	1.6964	0.8929	79.5372
k127_429465	metabat.151	1.4198	1.6094	1.0592	0.6999	85.0786
k127_449769	metabat.151	1.5203	1.4825	0.5099	0.3431	84.4339
k127_507899	metabat.151	2.3614	10.3034	10.8607	32.1208	34.3408
k127_510725	metabat.151	1.1472	1.2042	1.0073	0.9191	82.6742
k127_513965	metabat.151	1.8624	0.4527	0.8444	0.2619	74.5225
k127_540677	metabat.151	1.8939	1.9199	2.0629	1.3301	88.2314
k127_565605	metabat.151	1.3097	1.5538	1.2438	0.9242	78.6531
k127_570637	metabat.151	0.5205	1.0314	3.6402	0.6626	67.0906
k127_573181	metabat.151	1.82	1.8958	4.8557	10.8456	70.8144
k127_574825	metabat.151	3.3429	1.8304	2.8727	3.4183	102.0242
k127_591240	metabat.151	0.5379	0.9005	0.6038	0.4921	84.2495
k127_600618	metabat.151	0.119	8.8191	8.6616	34.0658	36.2994
k127_635242	metabat.151	0.8792	0.7271	0.7631	0.535	85.4268
k127_671329	metabat.151	3.1803	5.9794	19.7273	1.3417	74.6889
k127_673617	metabat.151	0.96	10.3953	12.6527	37.1948	40.8676
k127_702906	metabat.151	9.8005	7.7953	14.424	7.8307	97.7312
k127_704135	metabat.151	1.0804	0.9511	0.8437	0.3624	86.0018
k127_728601	metabat.151	1.0852	1.7242	3.7903	1.2757	84.8263
k127_736306	metabat.151	4.5344	13.3735	12.7767	39.2286	46.1989
k127_754511	metabat.151	5.1559	6.4981	14.5452	10.7242	74.4887
