#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads
k127_1054772 flag=0 multi=212.7225 len=228986	0.03550	4.88483	0.00105	0.12984	38671	1143
k127_2537710 flag=0 multi=86.4448 len=126678	0.03085	4.51562	0.00001	0.00069	33599	8
k127_2237853 flag=0 multi=214.4438 len=166290	0.02335	3.20109	0.00051	0.06192	25439	551
k127_3763042 flag=0 multi=224.9066 len=119252	0.02152	2.99160	0.00085	0.10570	23441	927
k127_2158484 flag=0 multi=120.5038 len=56860	0.02123	2.95476	0.00038	0.04642	23129	417
k127_67417 flag=0 multi=188.1244 len=145021	0.02122	2.90987	0.00043	0.05006	23118	469
k127_2916870 flag=0 multi=81.6875 len=81866	0.02062	3.00993	0.00001	0.00053	22460	7
k127_2270236 flag=0 multi=201.5725 len=124040	0.01932	2.66399	0.00050	0.06175	21047	541
k127_676357 flag=0 multi=227.3348 len=137453	0.01877	2.59442	0.00042	0.05111	20449	456
k127_3363111 flag=0 multi=207.4846 len=124275	0.01570	2.14911	0.00043	0.05274	17104	473
k127_26430 flag=0 multi=213.3520 len=116848	0.01503	2.08378	0.00023	0.03134	16368	254
k127_652740 flag=0 multi=108.5432 len=49573	0.01465	2.03124	0.00010	0.01105	15961	113
k127_22792 flag=0 multi=206.0229 len=91118	0.01388	1.91579	0.00027	0.03262	15123	289
k127_3535819 flag=1 multi=94.9859 len=70946	0.01375	1.93368	0.00009	0.00894	14982	96
k127_462463 flag=0 multi=86.2491 len=17294	0.01342	1.89005	0.00000	0.00015	14620	1
k127_961481 flag=0 multi=224.5363 len=103576	0.01332	1.83626	0.00011	0.01297	14506	115
k127_2612503 flag=0 multi=195.0224 len=94155	0.01298	1.78051	0.00015	0.01562	14137	158
k127_4868079 flag=0 multi=216.1035 len=85897	0.01240	1.71410	0.00019	0.02287	13504	209
k127_2291168 flag=1 multi=39.6368 len=117565	0.01211	1.75312	0.00004	0.00485	13196	45
