#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_2851 flag=1 multi=38.0000 len=1340	45.5299	1340	0.6134	100.0000	1340	253	245	0.6045	46	13.14
k127_3198 flag=0 multi=66.3236 len=1632	53.9436	1632	0.6158	100.0000	1632	341	351	0.6062	50	17.36
k127_9925 flag=0 multi=106.2232 len=1274	165.5879	1274	0.6044	98.8226	1259	771	838	0.6009	143	103.29
k127_10351 flag=0 multi=53.9971 len=2928	43.9819	2928	0.6134	100.0000	2928	515	505	0.5946	39	21.66
k127_11534 flag=0 multi=93.4647 len=2066	31.5794	2066	0.5963	100.0000	2066	263	249	0.5829	32	10.06
k127_13537 flag=0 multi=94.2560 len=2486	39.6585	2486	0.6372	100.0000	2486	401	407	0.6254	40	10.39
k127_15334 flag=1 multi=79.8847 len=1489	44.8825	1489	0.6118	100.0000	1489	269	265	0.5964	46	19.47
k127_16672 flag=1 multi=98.0000 len=1311	130.5812	1311	0.6537	100.0000	1311	677	663	0.6166	85	105.63
k127_17767 flag=0 multi=133.5386 len=1629	47.7219	1629	0.6556	100.0000	1629	305	311	0.6296	48	15.37
k127_24471 flag=0 multi=81.6314 len=1147	53.5545	1147	0.6347	100.0000	1147	235	234	0.6240	56	13.08
k127_24612 flag=0 multi=74.9035 len=1308	68.7309	1308	0.6376	100.0000	1308	359	343	0.6200	68	20.22
k127_25117 flag=1 multi=97.5695 len=2415	59.2497	2415	0.6352	100.0000	2415	566	562	0.6219	58	23.73
k127_25962 flag=1 multi=94.5931 len=2899	25.3049	2899	0.6240	100.0000	2899	281	290	0.6120	25	9.70
k127_30465 flag=0 multi=124.6275 len=5365	27.4828	5365	0.6296	100.0000	5365	584	592	0.6082	25	13.83
k127_52139 flag=1 multi=100.0000 len=2793	44.5320	2793	0.6251	100.0000	2793	498	487	0.6175	44	11.74
k127_58937 flag=1 multi=60.1878 len=1874	48.3388	1874	0.6158	100.0000	1874	358	346	0.6113	51	13.30
k127_62403 flag=0 multi=90.2198 len=2152	52.9577	2152	0.6324	100.0000	2152	423	445	0.6190	52	16.15
k127_63995 flag=0 multi=147.4088 len=1015	49.8611	1015	0.6177	100.0000	1015	192	199	0.6095	51	18.49
k127_64582 flag=1 multi=107.0000 len=1565	54.3649	1565	0.6307	94.5048	1479	348	344	0.6210	60	24.19
k127_66623 flag=0 multi=94.0509 len=6083	38.5553	6083	0.6334	100.0000	6083	911	942	0.6247	33	18.15
k127_68297 flag=0 multi=188.7784 len=1210	38.2884	1210	0.6083	100.0000	1210	180	180	0.5978	39	13.60
k127_69888 flag=0 multi=389.3613 len=1306	46.9969	1306	0.6286	100.0000	1306	244	248	0.6087	48	10.25
k127_74921 flag=0 multi=87.0000 len=1455	17.5086	1455	0.6282	92.9897	1353	105	102	0.5994	18	8.35
k127_75626 flag=0 multi=45.8532 len=1081	56.6744	1081	0.6216	100.0000	1081	240	252	0.5955	55	22.02
k127_82521 flag=0 multi=114.3656 len=2917	33.8289	2917	0.6222	99.9657	2916	398	392	0.6241	32	17.30
k127_83136 flag=0 multi=125.5232 len=8092	23.9771	8092	0.6330	100.0000	8092	756	761	0.6124	23	8.89
k127_86049 flag=0 multi=145.0227 len=3823	36.8373	3823	0.6270	100.0000	3823	542	550	0.6102	35	13.81
k127_87480 flag=0 multi=119.1430 len=3086	51.5159	3086	0.6458	100.0000	3086	617	636	0.6231	51	18.63
k127_89023 flag=0 multi=74.1869 len=1224	47.2655	1224	0.6054	100.0000	1224	232	241	0.5917	49	17.25
